hevy_template_id,title,type,primary_muscle_group
38FC1AB9,Box Squat (Barbell),weight_reps,quadriceps
A0D8FA1B,Boxing,duration,cardio
B5D3A742,Bulgarian Split Squat,weight_reps,quadriceps
BB792A36,Burpee,reps_only,full_body
115CC72C,Burpee Broad Jumps,distance_duration,full_body
86B00DDE,Burpee Over the Bar,reps_only,full_body
9DCE2D64,Butterfly (Pec Deck),weight_reps,chest
CC55119B,Cable Core Pallof Press,weight_reps,abdominals
23A48484,Cable Crunch,weight_reps,abdominals
651F844C,Cable Fly Crossovers,weight_reps,chest
8C331CD8,Cable Pull Through,weight_reps,glutes
92D858EA,Cable Twist (Down to up),weight_reps,abdominals
A2D838BD,Cable Twist (Up to down),weight_reps,abdominals
47B9DF13,Calf Extension (Machine),weight_reps,calves
91237BDD,Calf Press (Machine),weight_reps,calves
6FCD7755,Chest Dip,reps_only,chest
E9E4089F,Chest Dip (Assisted),bodyweight_assisted,chest
29472BE1,Chest Dip (Weighted),bodyweight_weighted,chest
DDB7C19F,Chest Fly (Band),weight_reps,chest
12017185,Chest Fly (Dumbbell),weight_reps,chest
78683336,Chest Fly (Machine),weight_reps,chest
720B0D70,Chest Fly (Suspension),reps_only,chest
EAC7D9C5,Chest Press (Band),weight_reps,chest
7EB3F7C3,Chest Press (Machine),weight_reps,chest
914F3A96,Chest Supported Incline Row (Dumbbell),weight_reps,upper_back
02369d63-8f67-4890-8da2-023eb3f4dafa,Chest Supported Machine Row,weight_reps,cardio
B582299E,Chest Supported Reverse Fly (Dumbbell),weight_reps,shoulders
F21D5693,Chest Supported Y Raise (Dumbbell),weight_reps,shoulders
29083183,Chin Up,reps_only,lats
D23C609B,Chin Up (Assisted),bodyweight_assisted,lats
023943F1,Chin Up (Weighted),bodyweight_weighted,lats
CC016611,Clamshell,reps_only,glutes
10D76E8F,Clap Push Ups,reps_only,chest
ABB00838,Clean,weight_reps,full_body
652FEA39,Clean Pull,weight_reps,full_body
9E09CEC3,Clean and Jerk,weight_reps,full_body
D3095577,Clean and Press,weight_reps,full_body
E23F1F2B,Climbing,duration,cardio
724CDE60,Concentration Curl,weight_reps,biceps
32C4D4A2,Cross Body Hammer Curl,weight_reps,biceps
DCF3B31B,Crunch,reps_only,abdominals
EB43ADD4,Crunch (Machine),weight_reps,abdominals
D928C232,Crunch (Weighted),bodyweight_weighted,abdominals
D39EC9EB,Curtsy Lunge (Dumbbell),weight_reps,quadriceps
D8F7F851,Cycling,distance_duration,cardio
D8911FC4,Dead Bug,reps_only,abdominals
B9380898,Dead Hang,duration,upper_back
99507114,Deadlift (Band),weight_reps,glutes
C6272009,Deadlift (Barbell),weight_reps,glutes
5F4E6DD3,Deadlift (Dumbbell),weight_reps,glutes
20870ED5,Deadlift (Smith Machine),weight_reps,glutes
B923B230,Deadlift (Trap bar),weight_reps,glutes
FA5D0DE1,Deadlift High Pull,weight_reps,full_body
DA0F0470,Decline Bench Press (Barbell),weight_reps,chest
18487FA7,Decline Bench Press (Dumbbell),weight_reps,chest
FAF31231,Decline Bench Press (Machine),weight_reps,chest
FFC106CB,Decline Bench Press (Smith Machine),weight_reps,chest
A351AED7,Decline Chest Fly (Dumbbell),weight_reps,chest
BC10A922,Decline Crunch,reps_only,abdominals
B2398CD1,Decline Crunch (Weighted),bodyweight_weighted,abdominals
C43825EA,Decline Push Up,reps_only,chest
6575F52D,Diamond Push Up,reps_only,triceps
7DA843A3,Downward Dog,reps_only,full_body
D950429E,Drag Curl,weight_reps,biceps
AFC29472,Dragon Flag,reps_only,abdominals
B7192800,Dragonfly,reps_only,abdominals
F1E57334,Dumbbell Row,weight_reps,lats
F3717B0E,Dumbbell Snatch,weight_reps,full_body
F72FA239,Dumbbell Squeeze Press,weight_reps,chest
BF6ECE89,Dumbbell Step Up,weight_reps,quadriceps
01A35BF9,EZ Bar Biceps Curl,weight_reps,biceps
A01BE509,Elbow to Knee,reps_only,abdominals
3303376C,Elliptical Trainer,distance_duration,cardio
BE640BA0,Face Pull,weight_reps,shoulders
50C613D0,Farmers Walk,short_distance_weight,full_body
867AC3B6,Feet Up Bench Press (Barbell),weight_reps,chest
2AF8B552,Fire Hydrants,reps_only,glutes
D53F2886,Floor Press (Barbell),weight_reps,chest
756EE329,Floor Press (Dumbbell),weight_reps,chest
A57D38D5,Floor Triceps Dip,reps_only,triceps
2FA77B28,Flutter Kicks,reps_only,abdominals
207DC636,Frog Jumps,reps_only,quadriceps
F6948F17,Frog Pumps (Dumbbell),weight_reps,glutes
0E608350,Front Lever Hold,duration,full_body
30F03BF0,Front Lever Raise,reps_only,full_body
47B036EF,Front Raise (Band),weight_reps,shoulders
BD86EFD5,Front Raise (Barbell),weight_reps,shoulders
DBB91A3C,Front Raise (Cable),weight_reps,shoulders
8293E554,Front Raise (Dumbbell),weight_reps,shoulders
796E8E2C,Front Raise (Suspension),reps_only,shoulders
5046D0A9,Front Squat,weight_reps,quadriceps
1283BBA6,Full Squat,weight_reps,quadriceps
CDA23948,Glute Bridge,reps_only,glutes
68B83EE0,Glute Ham Raise,reps_only,hamstrings
CBA02382,Glute Kickback (Machine),weight_reps,glutes
987234AB,Glute Kickback on Floor,reps_only,glutes
3D0C7C75,Goblet Squat,weight_reps,quadriceps
4180C405,Good Morning (Barbell),weight_reps,hamstrings
05487216,Gorilla Row (Kettlebell),weight_reps,upper_back
023947AB,HIIT,duration,cardio
AC5A4C58,Hack Squat,weight_reps,quadriceps
1E42FD5F,Hack Squat (Machine),weight_reps,quadriceps
1D4B3D6B,Hammer Curl (Band),weight_reps,biceps
36E8F14E,Hammer Curl (Cable),weight_reps,biceps
7E3BC8B6,Hammer Curl (Dumbbell),weight_reps,biceps
BE3615CF,Handstand Hold,duration,full_body
90B04F96,Handstand Push Up,reps_only,shoulders
BD4E7E53,Hang Clean,weight_reps,full_body
F4E77594,Hang Snatch,weight_reps,full_body
08590920,Hanging Knee Raise,reps_only,abdominals
F8356514,Hanging Leg Raise,reps_only,abdominals
567FB505,Heel Taps,reps_only,abdominals
BE89C631,Hex Press (Dumbbell),weight_reps,chest
C9CCB878,High Knee Skips,reps_only,full_body
150E076B,High Knees,reps_only,full_body
1C34A172,Hiking,distance_duration,cardio
F4B4C6EE,Hip Abduction (Machine),weight_reps,abductors
8BEBFED6,Hip Adduction (Machine),weight_reps,adductors
92B8C7E1,Hip Thrust,reps_only,glutes
D57C2EC7,Hip Thrust (Barbell),weight_reps,glutes
68CE0B9B,Hip Thrust (Machine),weight_reps,glutes
291ABA92,Hip Thrust (Smith Machine),weight_reps,glutes
970ADF87,Hollow Rock,duration,abdominals
50DFDFAB,Incline Bench Press (Barbell),weight_reps,chest
07B38369,Incline Bench Press (Dumbbell),weight_reps,chest
3A6FA3D1,Incline Bench Press (Smith Machine),weight_reps,chest
D3E2AB55,Incline Chest Fly (Dumbbell),weight_reps,chest
FBF92739,Incline Chest Press (Machine),weight_reps,chest
7afbf26f-bc75-481b-978b-b080850e23aa,Incline Dumbbell Y-Raise,weight_reps,shoulders
39C99849,Incline Push Ups,reps_only,chest
425805F4,Inverted Row,reps_only,upper_back
24706DCD,Iso-Lateral Chest Press (Machine),weight_reps,chest
BC3492DA,Iso-Lateral High Row (Machine),weight_reps,lats
91FAFBA3,Iso-Lateral Low Row,weight_reps,upper_back
AA1EB7D8,Iso-Lateral Row (Machine),weight_reps,upper_back
74103F24,JM Press (Barbell),weight_reps,triceps
